[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_top_bg.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | ERR: (ThinkException) 非法操作Images
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | INFO: Tag[ route_check ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | INFO: Tag[ app_begin ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/icon_demo.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | ERR: (ThinkException) 非法操作Images
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | INFO: Tag[ route_check ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | INFO: Tag[ app_begin ] --START--
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2016-02-26T21:15:54+08:00 ] /index.php/Admin/User/Images/login_bg.jpg | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
